finished,participantcode,sessioncode,id_in_group,playertreatment_punish,playertreatment,contribution,punish_1,punish_2,punish_3,punish_used,punish_received,belief_punish_1,belief_punish_2,belief_punish_3,belief_punish,belief_contribution,contribution_others,payoff_bonus_1,payoff_bonus_2,payoff_fixed,payoff_total,points_1,points_2,punish_points_received,gender,age,language,income_max,trust,risk,instruction,econ_exp,group_contributions,share_total,group_payoff
complete,aykl0ug0,d9u4p2a9,2,punish,hypothetical,4,-4,,-5,-9,-2,-5,,-5,-10,10,40,1.9,1.15,1.1,1.1,38,23,-6,2,30,1,2,2,3,3,1,44,22,82
complete,84pzhykk,d9u4p2a9,3,punish,hypothetical,20,0,0,,0,-7,0,0,,0,40,24,1.1,.050000001,1.1,1.1,22,1,-21,1,23,2,1,2,3,1,5,44,22,82
complete,mg48lpvm,d9u4p2a9,1,punish,real,10,,0,0,0,-2,,-2,-3,-5,22,29,1.48,1.1799999,1.1,2.28,29.5,23.5,-6,1,30,2,3,1,3,4,2,39,19.5,79.5
complete,kkni8ev9,d9u4p2a9,2,punish,real,20,0,,0,0,0,0,,0,0,40,19,.98000002,.98000002,1.1,2.0799999,19.5,19.5,0,1,22,2,2,1,3,2,5,39,19.5,79.5
complete,schxax8x,d9u4p2a9,3,punish,real,9,-2,0,,-2,0,-2,-4,,-6,20,30,1.53,1.4299999,1.1,2.53,30.5,28.5,0,1,19,2,2,2,7,3,5,39,19.5,79.5
complete,t4ikle2p,d9u4p2a9,1,punish,hypothetical,5,,0,0,0,0,,-3,-1,-4,20,15,1.25,1.25,1.1,1.1,25,25,0,2,22,2,3,1,9,3,4,20,10,70
complete,u1lxtshv,d9u4p2a9,2,punish,hypothetical,10,0,,0,0,0,-5,,-5,-10,20,10,1,1,1.1,1.1,20,20,0,1,59,1,3,2,10,4,0,20,10,70
complete,xclenzes,d9u4p2a9,3,punish,hypothetical,5,0,0,,0,0,0,0,,0,10,15,1.25,1.25,1.1,1.1,25,25,0,2,34,2,2,2,4,3,3,20,10,70
complete,4a53llps,d9u4p2a9,1,punish,hypothetical,10,,0,0,0,0,,-5,0,-5,10,25,1.38,1.38,1.1,1.1,27.5,27.5,0,2,28,2,5,2,4,2,5,35,17.5,77.5
complete,0rxejnq7,d9u4p2a9,2,punish,hypothetical,5,0,,0,0,0,-2,,-2,-4,10,30,1.63,1.63,1.1,1.1,32.5,32.5,0,2,27,1,2,2,7,3,0,35,17.5,77.5
complete,xcweyo4s,d9u4p2a9,3,punish,hypothetical,20,0,0,,0,0,0,0,,0,20,15,.88,.88,1.1,1.1,17.5,17.5,0,1,38,2,3,2,5,2,3,35,17.5,77.5
complete,djk6znlm,d9u4p2a9,1,punish,real,12,,0,0,0,0,,0,-3,-3,20,27,1.38,1.38,1.1,2.48,27.5,27.5,0,1,28,1,3,1,7,2,3,39,19.5,79.5
complete,6iuy2833,d9u4p2a9,2,punish,real,20,0,,0,0,0,0,,0,0,40,19,.98000002,.98000002,1.1,2.0799999,19.5,19.5,0,1,34,2,3,1,5,3,3,39,19.5,79.5
complete,u0t7hk6g,d9u4p2a9,3,punish,real,7,0,0,,0,0,0,0,,0,18,32,1.63,1.63,1.1,2.73,32.5,32.5,0,2,28,1,3,2,2,4,4,39,19.5,79.5
complete,90kl0d05,d9u4p2a9,1,punish,hypothetical,10,,0,-5,-5,0,,0,0,0,20,20,1.25,1,1.1,1.1,25,20,0,1,22,2,1,2,10,4,1,30,15,75
complete,153utxbj,d9u4p2a9,2,punish,hypothetical,20,0,,0,0,0,0,,0,0,20,10,.75,.75,1.1,1.1,15,15,0,1,43,2,5,2,6,2,2,30,15,75
complete,npgafv1d,d9u4p2a9,3,punish,hypothetical,0,0,0,,0,-5,0,0,,0,20,30,1.75,1,1.1,1.1,35,20,-15,2,22,1,1,2,7,4,1,30,15,75
complete,yua3w5po,d9u4p2a9,1,punish,hypothetical,8,,0,0,0,0,,0,0,0,15,25,1.4299999,1.4299999,1.1,1.1,28.5,28.5,0,2,28,1,1,2,10,5,1,33,16.5,76.5
complete,8j6jyixg,d9u4p2a9,2,punish,hypothetical,20,0,,0,0,0,-1,,-1,-2,40,13,.82999998,.82999998,1.1,1.1,16.5,16.5,0,1,31,2,3,2,8,5,3,33,16.5,76.5
complete,zvnamq3y,d9u4p2a9,3,punish,hypothetical,5,0,0,,0,0,-3,0,,-3,12,28,1.58,1.58,1.1,1.1,31.5,31.5,0,1,21,2,2,2,3,3,5,33,16.5,76.5
complete,0x7nard8,d9u4p2a9,1,punish,real,20,,0,-4,-4,-1,,0,0,0,40,17,.93000001,.57999998,1.1,1.6799999,18.5,11.5,-3,1,25,2,1,1,7,4,5,37,18.5,78.5
complete,93rts0ka,d9u4p2a9,2,punish,real,15,-1,,-1,-2,0,0,,-5,-5,20,22,1.1799999,1.0700001,1.1,2.1700001,23.5,21.5,0,1,23,2,3,2,7,4,10,37,18.5,78.5
complete,o74cyzzb,d9u4p2a9,3,punish,real,2,0,0,,0,-5,-3,-3,,-6,11,35,1.83,1.0700001,1.1,2.1700001,36.5,21.5,-15,1,32,2,5,2,7,1,10,37,18.5,78.5
complete,4ad8qw0c,d9u4p2a9,1,punish,hypothetical,20,,0,-1,-1,-6,,0,0,0,20,29,1.23,.28,1.1,1.1,24.5,5.5,-18,1,25,2,2,2,3,4,5,49,24.5,84.5
complete,cu0tm7st,d9u4p2a9,2,punish,hypothetical,20,0,,-2,-2,-6,0,,0,0,20,29,1.23,.23,1.1,1.1,24.5,4.5,-18,1,28,1,4,2,4,4,0,49,24.5,84.5
complete,r3at8xer,d9u4p2a9,3,punish,hypothetical,9,-6,-6,,-12,-3,-10,-10,,-20,24,40,1.78,.73000002,1.1,1.1,35.5,14.5,-9,2,23,1,1,2,8,3,2,49,24.5,84.5
complete,d0msee1p,d9u4p2a9,1,punish,real,10,,0,0,0,-1,,0,0,0,20,25,1.38,1.23,1.1,2.3299999,27.5,24.5,-3,1,45,2,2,2,3,4,5,35,17.5,77.5
complete,iqmhezq3,d9u4p2a9,2,punish,real,20,0,,0,0,-1,0,,-2,-2,25,15,.88,.73000002,1.1,1.83,17.5,14.5,-3,1,24,2,5,2,3,4,3,35,17.5,77.5
complete,60ax6cel,d9u4p2a9,3,punish,real,5,-1,-1,,-2,0,-5,-5,,-10,10,30,1.63,1.53,1.1,2.6300001,32.5,30.5,0,2,20,2,1,2,3,4,0,35,17.5,77.5
complete,gr19v69d,d9u4p2a9,1,punish,real,0,,0,0,0,0,,0,0,0,0,11,1.28,1.28,1.1,2.3800001,25.5,25.5,0,1,30,1,1,2,1,3,2,11,5.5,65.5
complete,ce327f2i,d9u4p2a9,2,punish,real,10,0,,0,0,0,0,,0,0,20,1,.77999997,.77999997,1.1,1.88,15.5,15.5,0,1,25,2,3,2,8,4,3,11,5.5,65.5
complete,4vmet1li,d9u4p2a9,3,punish,real,1,0,0,,0,0,-3,-3,,-6,16,10,1.23,1.23,1.1,2.3299999,24.5,24.5,0,1,20,1,2,1,3,3,0,11,5.5,65.5
complete,h3a9hl4x,d9u4p2a9,1,punish,real,20,,0,0,0,-5,,0,0,0,30,20,1,.25,1.1,1.35,20,5,-15,1,24,2,4,2,10,5,4,40,20,80
complete,xct5bmto,d9u4p2a9,2,punish,real,10,-5,,-10,-15,0,-9,,-10,-19,18,30,1.5,.75,1.1,1.85,30,15,0,1,21,2,2,2,10,3,1,40,20,80
complete,az3dbjyt,d9u4p2a9,3,punish,real,10,0,0,,0,-10,0,0,,0,20,30,1.5,0,1.1,1.1,30,0,-30,1,22,2,3,1,5,2,5,40,20,80
complete,jv21wrar,a4l2lppj,1,punish,real,10,,-10,-10,-20,-10,,-10,-10,-20,20,40,1.75,-.75,1.1,.34999999,35,-15,-30,2,38,2,1,2,4,2,3,50,25,85
complete,won38280,a4l2lppj,2,punish,real,20,0,,0,0,-10,0,,0,0,40,30,1.25,0,1.1,1.1,25,0,-30,1,25,2,2,2,4,4,5,50,25,85
complete,opp84dwv,a4l2lppj,3,punish,real,20,-10,0,,-10,-10,-10,0,,-10,30,30,1.25,-.5,1.1,.60000002,25,-10,-30,1,20,2,1,2,8,4,6,50,25,85
complete,l7p40i1q,a4l2lppj,1,punish,hypothetical,7,,0,-1,-1,-2,,0,-3,-3,10,25,1.45,1.1,1.1,1.1,29,22,-6,2,27,2,2,2,2,4,0,32,16,76
complete,ioy048pf,a4l2lppj,2,punish,hypothetical,20,0,,0,0,0,0,,0,0,40,12,.80000001,.80000001,1.1,1.1,16,16,0,1,31,2,3,2,8,4,5,32,16,76
complete,557lycxb,a4l2lppj,3,punish,hypothetical,5,-2,0,,-2,-1,-5,-2,,-7,20,27,1.55,1.3,1.1,1.1,31,26,-3,1,26,2,1,2,10,2,0,32,16,76
complete,tltv1wd1,a4l2lppj,1,punish,hypothetical,5,,0,0,0,0,,0,-2,-2,14,15,1.25,1.25,1.1,1.1,25,25,0,1,19,2,3,2,3,3,10,20,10,70
complete,jcm1a1xl,a4l2lppj,2,punish,hypothetical,5,0,,0,0,0,0,,0,0,15,15,1.25,1.25,1.1,1.1,25,25,0,2,29,2,1,2,8,4,7,20,10,70
complete,5yda44pt,a4l2lppj,3,punish,hypothetical,10,0,0,,0,0,0,0,,0,20,10,1,1,1.1,1.1,20,20,0,1,46,2,3,1,3,2,-1,20,10,70
complete,sqmypsnr,a4l2lppj,1,punish,real,15,,-2,-2,-4,-1,,0,0,0,10,20,1.13,.77999997,1.1,1.88,22.5,15.5,-3,1,26,2,2,2,3,3,3,35,17.5,77.5
complete,ieyi3uh0,a4l2lppj,2,punish,real,10,0,,0,0,-5,-1,,0,-1,17,25,1.38,.63,1.1,1.73,27.5,12.5,-15,2,24,2,2,1,3,4,4,35,17.5,77.5
complete,3s69gqnd,a4l2lppj,3,punish,real,10,-1,-3,,-4,-2,-3,-4,,-7,30,25,1.38,.88,1.1,1.98,27.5,17.5,-6,1,20,2,4,2,7,4,1,35,17.5,77.5
complete,5rbvli97,a4l2lppj,1,punish,hypothetical,9,,0,0,0,-2,,0,0,0,20,20,1.28,.98000002,1.1,1.1,25.5,19.5,-6,2,29,2,3,2,6,3,1,29,14.5,74.5
complete,85r1jv10,a4l2lppj,2,punish,hypothetical,10,-2,,-2,-4,0,-5,,-5,-10,25,19,1.23,1.03,1.1,1.1,24.5,20.5,0,1,23,2,4,1,8,2,2,29,14.5,74.5
complete,wmgd0lrq,a4l2lppj,3,punish,hypothetical,10,0,0,,0,-2,-1,0,,-1,25,19,1.23,.93000001,1.1,1.1,24.5,18.5,-6,2,35,2,2,2,6,2,4,29,14.5,74.5
complete,wdl6beml,a4l2lppj,1,punish,real,10,,0,0,0,-2,,0,0,0,20,5,.88,.57999998,1.1,1.6799999,17.5,11.5,-6,2,24,2,1,2,5,2,5,15,7.5,67.5
complete,v8fpabui,a4l2lppj,2,punish,real,0,0,,0,0,-1,-3,,-3,-6,0,15,1.38,1.23,1.1,2.3299999,27.5,24.5,-3,1,31,1,1,2,6,5,0,15,7.5,67.5
complete,0jlpqbz7,a4l2lppj,3,punish,real,5,-2,-1,,-3,0,-2,-1,,-3,20,10,1.13,.98000002,1.1,2.0799999,22.5,19.5,0,1,18,1,2,1,5,3,2,15,7.5,67.5
complete,yox01e6o,a4l2lppj,1,punish,hypothetical,10,,-3,-4,-7,0,,-1,-1,-2,15,9,.98000002,.63,1.1,1.1,19.5,12.5,0,3,22,1,3,1,9,4,1,19,9.5,69.5
complete,qkkbavk9,a4l2lppj,2,punish,hypothetical,5,0,,-1,-1,-3,-2,,-3,-5,18,14,1.23,.73000002,1.1,1.1,24.5,14.5,-9,2,22,1,2,2,2,4,3,19,9.5,69.5
complete,hlp6wz3o,a4l2lppj,3,punish,hypothetical,4,0,0,,0,-5,-1,0,,-1,15,15,1.28,.52999997,1.1,1.1,25.5,10.5,-15,2,24,2,2,2,4,3,0,19,9.5,69.5
complete,oskk61tk,a4l2lppj,1,punish,real,3,,0,0,0,0,,-5,-6,-11,10,35,1.8,1.8,1.1,2.9000001,36,36,0,2,24,1,1,2,1,5,0,38,19,79
complete,ogvedflc,a4l2lppj,2,punish,real,15,0,,0,0,0,-3,,0,-3,20,23,1.2,1.2,1.1,2.3,24,24,0,2,21,1,1,2,8,3,3,38,19,79
complete,1et519dt,a4l2lppj,3,punish,real,20,0,0,,0,0,-3,-10,,-13,10,18,.94999999,.94999999,1.1,2.05,19,19,0,1,29,1,5,2,10,3,5,38,19,79
complete,cd7pesoh,a4l2lppj,1,punish,hypothetical,8,,-1,0,-1,-6,,0,0,0,20,15,1.1799999,.23,1.1,1.1,23.5,4.5,-18,1,19,2,4,2,6,5,2,23,11.5,71.5
complete,ndbzq3ab,a4l2lppj,2,punish,hypothetical,5,-6,,-10,-16,-3,-5,,-7,-12,20,18,1.33,.079999998,1.1,1.1,26.5,1.5,-9,1,58,2,2,1,7,4,0,23,11.5,71.5
complete,gpyplmjg,a4l2lppj,3,punish,hypothetical,10,0,-2,,-2,-10,-5,-3,,-8,20,13,1.0700001,-.1,1.1,1.1,21.5,-2,-30,1,41,2,3,2,7,2,0,23,11.5,71.5
complete,5ua2kcut,a4l2lppj,1,punish,real,10,,0,0,0,0,,-1,-1,-2,15,35,1.63,1.63,1.1,2.73,32.5,32.5,0,3,24,2,2,2,4,3,5,45,22.5,82.5
complete,6vjx2ixm,a4l2lppj,2,punish,real,15,0,,0,0,0,0,,0,0,30,30,1.38,1.38,1.1,2.48,27.5,27.5,0,2,19,2,2,2,7,4,2,45,22.5,82.5
complete,1kjszgs4,a4l2lppj,3,punish,real,20,0,0,,0,0,0,0,,0,20,25,1.13,1.13,1.1,2.23,22.5,22.5,0,1,22,1,3,1,8,4,7,45,22.5,82.5
complete,d15fm8bj,a4l2lppj,1,punish,real,0,,-3,0,-3,-13,,-5,-5,-10,4,11,1.28,-.15000001,1.1,.94999999,25.5,-3,-39,2,23,1,1,2,9,3,1,11,5.5,65.5
complete,yut9dj8t,a4l2lppj,2,punish,real,10,-3,,-2,-5,-4,-1,,-1,-2,20,1,.77999997,-.079999998,1.1,1.03,15.5,-1.5,-12,2,22,2,2,2,6,5,2,11,5.5,65.5
complete,o9h4exds,a4l2lppj,3,punish,real,1,-10,-1,,-11,-2,-10,-1,,-11,20,10,1.23,.38,1.1,1.48,24.5,7.5,-6,2,31,2,2,2,5,2,0,11,5.5,65.5
complete,a69fbsy7,ymj0yisj,1,punish,real,10,,-2,-3,-5,0,,0,-1,-1,30,15,1.13,.88,1.1,1.98,22.5,17.5,0,2,34,1,2,2,8,2,3,25,12.5,72.5
complete,slayhlcz,ymj0yisj,2,punish,real,5,0,,0,0,-2,-5,,-5,-10,10,20,1.38,1.0700001,1.1,2.1700001,27.5,21.5,-6,1,23,2,2,2,3,3,2,25,12.5,72.5
complete,q4svjl7c,ymj0yisj,3,punish,real,10,0,0,,0,-3,0,0,,0,20,15,1.13,.68000001,1.1,1.78,22.5,13.5,-9,1,55,2,3,1,8,3,0,25,12.5,72.5
complete,y5u18m6a,ymj0yisj,1,punish,real,4,,0,-3,-3,-2,,-1,-2,-3,27,5,1.03,.57999998,1.1,1.6799999,20.5,11.5,-6,2,22,1,3,2,7,3,3,9,4.5,64.5
complete,p383bea4,ymj0yisj,2,punish,real,5,-2,,-4,-6,0,0,,0,0,10,4,.98000002,.68000001,1.1,1.78,19.5,13.5,0,2,35,1,2,1,4,3,0,9,4.5,64.5
complete,a763x9f5,ymj0yisj,3,punish,real,0,0,0,,0,-7,0,0,,0,16,9,1.23,.18000001,1.1,1.28,24.5,3.5,-21,1,23,2,1,1,8,5,0,9,4.5,64.5
complete,8drhmy2h,ymj0yisj,1,punish,hypothetical,5,,0,0,0,-10,,-2,-3,-5,20,40,1.88,.38,1.1,1.1,37.5,7.5,-30,1,27,2,3,2,3,2,2,45,22.5,82.5
complete,1ai2kf7i,ymj0yisj,2,punish,hypothetical,20,-10,,0,-10,0,-5,,0,-5,30,25,1.13,.63,1.1,1.1,22.5,12.5,0,1,23,2,4,2,4,3,5,45,22.5,82.5
complete,qvtibpip,ymj0yisj,3,punish,hypothetical,20,0,0,,0,0,0,0,,0,40,25,1.13,1.13,1.1,1.1,22.5,22.5,0,1,28,2,3,1,3,2,10,45,22.5,82.5
complete,k2hvyguj,ymj0yisj,1,punish,real,5,,0,0,0,0,,0,0,0,30,25,1.5,1.5,1.1,2.5999999,30,30,0,1,19,2,3,1,10,5,0,30,15,75
complete,la3nmt9f,ymj0yisj,2,punish,real,20,0,,0,0,0,0,,0,0,40,10,.75,.75,1.1,1.85,15,15,0,1,35,2,2,2,8,3,1,30,15,75
complete,mvwhe5xh,ymj0yisj,3,punish,real,5,0,0,,0,0,0,-3,,-3,12,25,1.5,1.5,1.1,2.5999999,30,30,0,1,23,2,1,2,4,4,2,30,15,75
complete,w1s425fv,ymj0yisj,1,punish,hypothetical,10,,-1,-3,-4,0,,-1,-1,-2,25,8,.94999999,.75,1.1,1.1,19,15,0,1,20,2,2,2,4,3,5,18,9,69
complete,w2tlx1n3,ymj0yisj,2,punish,hypothetical,6,0,,-1,-1,-2,-1,,-1,-2,15,12,1.15,.80000001,1.1,1.1,23,16,-6,1,20,2,3,2,6,4,5,18,9,69
complete,0638twgf,ymj0yisj,3,punish,hypothetical,2,0,-1,,-1,-4,-3,-3,,-6,8,16,1.35,.69999999,1.1,1.1,27,14,-12,1,36,1,3,2,2,2,5,18,9,69
complete,881hqdzn,ymj0yisj,1,punish,real,12,,-2,-3,-5,0,,-5,-6,-11,20,35,1.58,1.33,1.1,2.4300001,31.5,26.5,0,1,21,1,1,2,9,3,0,47,23.5,83.5
complete,gz5hui5z,ymj0yisj,2,punish,real,20,0,,0,0,-2,-2,,0,-2,30,27,1.1799999,.88,1.1,1.98,23.5,17.5,-6,1,18,2,3,2,4,3,3,47,23.5,83.5
complete,x7n4d3l2,ymj0yisj,3,punish,real,15,0,0,,0,-3,-2,-3,,-5,30,32,1.4299999,.98000002,1.1,2.0799999,28.5,19.5,-9,2,24,2,2,2,3,2,1,47,23.5,83.5
complete,7dsnj4ya,ymj0yisj,1,punish,real,5,,-3,-3,-6,0,,-5,-5,-10,10,10,1.13,.82999998,1.1,1.9299999,22.5,16.5,0,2,49,2,2,2,6,3,2,15,7.5,67.5
complete,ku608alf,ymj0yisj,2,punish,real,5,0,,0,0,-3,-5,,-5,-10,15,10,1.13,.68000001,1.1,1.78,22.5,13.5,-9,1,20,2,2,2,7,3,1,15,7.5,67.5
complete,kwevvewm,ymj0yisj,3,punish,real,5,0,0,,0,-3,0,0,,0,10,10,1.13,.68000001,1.1,1.78,22.5,13.5,-9,1,23,2,5,1,4,3,0,15,7.5,67.5
complete,flxz9gjq,ymj0yisj,1,punish,hypothetical,20,,0,0,0,0,,0,0,0,25,25,1.13,1.13,1.1,1.1,22.5,22.5,0,2,24,2,4,1,4,3,5,45,22.5,82.5
complete,2k8i2sk7,ymj0yisj,2,punish,hypothetical,15,0,,-2,-2,0,-1,,0,-1,30,30,1.38,1.28,1.1,1.1,27.5,25.5,0,1,21,2,1,1,10,1,0,45,22.5,82.5
complete,fst81w0u,ymj0yisj,3,punish,hypothetical,10,0,0,,0,-2,-3,-3,,-6,20,35,1.63,1.33,1.1,1.1,32.5,26.5,-6,1,31,2,3,2,8,3,1,45,22.5,82.5
complete,x9xm0u4k,ymj0yisj,1,punish,real,10,,0,0,0,0,,0,0,0,20,20,1.25,1.25,1.1,2.3499999,25,25,0,2,25,2,1,1,7,4,1,30,15,75
complete,nkkhk3b5,ymj0yisj,2,punish,real,10,0,,0,0,0,0,,0,0,20,20,1.25,1.25,1.1,2.3499999,25,25,0,1,33,2,1,1,5,4,1,30,15,75
complete,8ywf9bbm,ymj0yisj,3,punish,real,10,0,0,,0,0,0,0,,0,20,20,1.25,1.25,1.1,2.3499999,25,25,0,1,33,2,2,2,8,4,3,30,15,75
complete,z0zdm3ce,ymj0yisj,1,punish,real,8,,0,0,0,-4,,0,0,0,10,20,1.3,.69999999,1.1,1.8,26,14,-12,2,62,2,1,1,10,5,12,28,14,74
complete,yi0zhoap,ymj0yisj,2,punish,real,10,-2,,-1,-3,0,-5,,-1,-6,20,18,1.2,1.05,1.1,2.1500001,24,21,0,2,21,2,2,2,4,2,15,28,14,74
complete,kxxg46u0,ymj0yisj,3,punish,real,10,-2,0,,-2,-1,-4,-3,,-7,30,18,1.2,.94999999,1.1,2.05,24,19,-3,2,19,2,4,2,9,5,5,28,14,74
complete,1jdr9e8o,ymj0yisj,1,punish,real,0,,0,0,0,-3,,-5,-3,-8,0,18,1.45,1,1.1,2.0999999,29,20,-9,2,31,2,4,1,7,2,1,18,9,69
complete,z8x163mf,ymj0yisj,2,punish,real,8,-3,,0,-3,0,-1,,0,-1,15,10,1.05,.89999998,1.1,2,21,18,0,1,21,2,3,2,5,3,10,18,9,69
complete,k9wb2po6,ymj0yisj,3,punish,real,10,0,0,,0,0,0,-1,,-1,10,8,.94999999,.94999999,1.1,2.05,19,19,0,2,22,2,2,2,4,2,1,18,9,69
complete,9mv74dww,axz1349o,1,punish,real,20,,0,0,0,0,,0,0,0,20,15,.88,.88,1.1,1.98,17.5,17.5,0,2,25,1,1,2,10,3,0,35,17.5,77.5
complete,gu5vtpaw,axz1349o,2,punish,real,5,0,,0,0,-2,-1,,0,-1,20,30,1.63,1.33,1.1,2.4300001,32.5,26.5,-6,1,20,2,1,1,3,4,2,35,17.5,77.5
complete,ktn1li2r,axz1349o,3,punish,real,10,0,-2,,-2,0,-1,0,,-1,16,25,1.38,1.28,1.1,2.3800001,27.5,25.5,0,2,25,2,1,2,8,4,10,35,17.5,77.5
complete,th4yxwwy,axz1349o,1,punish,real,5,,-1,0,-1,-3,,-2,-5,-7,13,17,1.3,.80000001,1.1,1.9,26,16,-9,2,32,2,1,2,5,2,0,22,11,71
complete,rgmz92ea,axz1349o,2,punish,real,7,-2,,0,-2,-1,0,,-3,-3,10,15,1.2,.94999999,1.1,2.05,24,19,-3,1,22,2,2,2,3,3,7,22,11,71
complete,qpp3m4p8,axz1349o,3,punish,real,10,-1,0,,-1,0,0,0,,0,15,12,1.05,1,1.1,2.0999999,21,20,0,1,27,2,3,2,4,4,4,22,11,71
complete,gulgey5b,axz1349o,1,punish,real,10,,0,0,0,0,,0,0,0,20,15,1.13,1.13,1.1,2.23,22.5,22.5,0,2,21,1,2,2,9,3,3,25,12.5,72.5
complete,b8zvotqw,axz1349o,2,punish,real,15,0,,0,0,0,0,,0,0,20,10,.88,.88,1.1,1.98,17.5,17.5,0,1,22,2,3,2,8,3,2,25,12.5,72.5
complete,btve6n8h,axz1349o,3,punish,real,0,0,0,,0,0,-5,-5,,-10,20,25,1.63,1.63,1.1,2.73,32.5,32.5,0,1,22,2,2,2,5,3,5,25,12.5,72.5
complete,aynpdzzg,axz1349o,1,punish,real,5,,-2,-2,-4,0,,-4,-5,-9,12,9,1.1,.89999998,1.1,2,22,18,0,2,20,2,1,2,5,2,0,14,7,67
complete,ivsogmvc,axz1349o,2,punish,real,5,0,,0,0,-2,0,,0,0,15,9,1.1,.80000001,1.1,1.9,22,16,-6,1,20,2,1,2,7,4,1,14,7,67
complete,vsn5mvz6,axz1349o,3,punish,real,4,0,0,,0,-2,-1,0,,-1,10,10,1.15,.85000002,1.1,1.95,23,17,-6,2,26,2,4,2,3,2,2,14,7,67
complete,wy7pheq4,axz1349o,1,punish,real,5,,0,0,0,0,,-1,-2,-3,10,30,1.63,1.63,1.1,2.73,32.5,32.5,0,2,57,2,2,1,5,3,2,35,17.5,77.5
complete,p1h7fv11,axz1349o,2,punish,real,10,0,,0,0,0,-1,,-2,-3,30,25,1.38,1.38,1.1,2.48,27.5,27.5,0,2,30,1,1,1,1,2,0,35,17.5,77.5
complete,72d4lpmi,axz1349o,3,punish,real,20,0,0,,0,0,0,0,,0,40,15,.88,.88,1.1,1.98,17.5,17.5,0,1,26,2,3,2,6,2,2,35,17.5,77.5
complete,sd18vooe,axz1349o,1,punish,real,10,,-2,0,-2,0,,0,0,0,15,5,.88,.77999997,1.1,1.88,17.5,15.5,0,1,26,2,2,2,6,4,3,15,7.5,67.5
complete,rmu7eyeu,axz1349o,2,punish,real,0,0,,0,0,-5,0,,0,0,20,15,1.38,.63,1.1,1.73,27.5,12.5,-15,2,37,1,1,2,8,2,9,15,7.5,67.5
complete,zk6ptpc8,axz1349o,3,punish,real,5,0,-3,,-3,0,-2,-3,,-5,13,10,1.13,.98000002,1.1,2.0799999,22.5,19.5,0,1,20,1,1,2,9,3,2,15,7.5,67.5
complete,1rce6ptw,axz1349o,1,punish,real,20,,0,0,0,-1,,0,0,0,40,28,1.2,1.05,1.1,2.1500001,24,21,-3,2,39,1,1,2,8,3,0,48,24,84
complete,pzkhlrhg,axz1349o,2,punish,real,10,0,,0,0,-1,0,,0,0,20,38,1.7,1.55,1.1,2.6500001,34,31,-3,1,20,1,3,1,10,2,2,48,24,84
complete,mwswydpe,axz1349o,3,punish,real,18,-1,-1,,-2,0,-3,-2,,-5,25,30,1.3,1.2,1.1,2.3,26,24,0,2,22,1,1,2,6,3,2,48,24,84
complete,r6ew9jcz,axz1349o,1,punish,real,10,,0,0,0,-1,,-1,-1,-2,20,7,.93000001,.77999997,1.1,1.88,18.5,15.5,-3,2,23,1,2,2,7,3,4,17,8.5,68.5
complete,0joxkpdo,axz1349o,2,punish,real,5,0,,-1,-1,-1,-1,,0,-1,10,12,1.1799999,.98000002,1.1,2.0799999,23.5,19.5,-3,1,19,2,1,1,6,3,3,17,8.5,68.5
complete,eyyq2nei,axz1349o,3,punish,real,2,-1,-1,,-2,-1,-5,-5,,-10,10,15,1.33,1.0700001,1.1,2.1700001,26.5,21.5,-3,2,23,2,3,2,7,3,2,17,8.5,68.5
complete,1ng0lehl,axz1349o,1,punish,real,10,,0,0,0,0,,0,0,0,20,27,1.4299999,1.4299999,1.1,2.53,28.5,28.5,0,1,31,1,5,1,7,3,0,37,18.5,78.5
complete,laari5rr,axz1349o,2,punish,real,15,0,,0,0,0,0,,0,0,20,22,1.1799999,1.1799999,1.1,2.28,23.5,23.5,0,1,31,1,2,1,5,4,0,37,18.5,78.5
complete,8qm43ak6,axz1349o,3,punish,real,12,0,0,,0,0,-1,-2,,-3,15,25,1.33,1.33,1.1,2.4300001,26.5,26.5,0,2,24,1,2,1,2,3,0,37,18.5,78.5
complete,hb3cbn6t,axz1349o,1,punish,real,5,,-1,-3,-4,-15,,-10,-5,-15,8,24,1.48,-.2,1.1,.89999998,29.5,-4,-45,2,21,2,2,2,6,4,2,29,14.5,74.5
complete,wensmm5q,axz1349o,2,punish,real,15,-10,,-4,-14,-2,-3,,-1,-4,20,14,.98000002,-.029999999,1.1,1.08,19.5,-.5,-6,1,31,2,2,2,9,3,0,29,14.5,74.5
complete,clx1l0vw,axz1349o,3,punish,real,9,-5,-1,,-6,-7,-10,-6,,-16,21,20,1.28,-.079999998,1.1,1.03,25.5,-1.5,-21,2,26,2,2,2,3,2,1,29,14.5,74.5
complete,doo783rb,axz1349o,1,punish,real,10,,-10,0,-10,0,,0,0,0,20,10,1,.5,1.1,1.6,20,10,0,2,28,1,2,2,10,4,0,20,10,70
complete,9uh2ka89,axz1349o,2,punish,real,0,0,,0,0,-12,-10,,-10,-20,10,20,1.5,0,1.1,1.1,30,0,-36,2,23,1,1,2,6,2,0,20,10,70
complete,17sl6hli,axz1349o,3,punish,real,10,0,-2,,-2,0,0,0,,0,20,10,1,.89999998,1.1,2,20,18,0,2,24,2,3,1,4,3,2,20,10,70
complete,kmasdt5j,axz1349o,1,punish,real,5,,0,0,0,-5,,-5,-3,-8,10,35,1.75,1,1.1,2.0999999,35,20,-15,2,22,1,2,2,8,3,5,40,20,80
